channel,date,members,name,popularity,rank,score
TV,Summer 2004,"1,375,558",Elfen Lied,#66,#1629,7.51
TV,Summer 2015,"1,399,277",Charlotte,#64,#975,7.75
TV,Fall 2007,"1,291,488",Clannad,#77,#552,8.01
TV,Spring 2015,"1,161,207",Owari no Seraph,#88,#1715,7.49
TV,Winter 2019,"1,321,579",Tate no Yuusha no Nariagari,#74,#536,8.02
TV,Summer 2017,"1,125,013",Made in Abyss,#94,#53,8.68
TV,Fall 2011,"1,115,430",Guilty Crown,#97,#1893,7.44
TV,Summer 2019,"1,084,949",Vinland Saga,#102,#43,8.73
Movie,,"1,119,703",Howl no Ugoku Shiro,#96,#61,8.66
TV,Winter 2021,"923,329",Mushoku Tensei: Isekai Ittara Honki Dasu,#133,#184,8.37
TV,Summer 2016,"905,701",ReLIFE,#139,#584,7.99
TV,Winter 2015,"923,018",JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,#134,#145,8.44
TV,Fall 2013,"900,032",Golden Time,#142,#981,7.75
TV,Spring 2004,"842,828",Monster,#154,#27,8.83
TV,Spring 2016,"925,089",JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,#131,#121,8.50
Movie,,"841,997",Byousoku 5 Centimeter,#156,#1317,7.61
TV,Spring 2015,"829,176",Plastic Memories,#161,#674,7.92
TV,Winter 2022,"838,740",Shingeki no Kyojin: The Final Season Part 2,#158,#25,8.87
TV,Fall 2009,"803,531",Kimi ni Todoke,#168,#573,8.00
TV,Summer 2014,"802,136",Ao Haru Ride,#169,#1204,7.65
Movie,,"764,566",No Game No Life: Zero,#181,#303,8.22
Movie,,"790,225",Tenki no Ko,#171,#220,8.32
TV,Spring 2020,"763,966",Kami no Tou,#183,#1432,7.57
TV,Spring 2018,"755,349",Steins;Gate 0,#188,#107,8.52
Movie,,"759,438",Kimi no Suizou wo Tabetai,#187,#89,8.57
Movie,,"752,047",Kotonoha no Niwa,#189,#684,7.92
TV,Spring 2016,"721,835",Koutetsujou no Kabaneri,#211,#2702,7.26
TV,Fall 2012,"712,803",Shinsekai yori,#217,#234,8.31
TV,Fall 2015,"690,679",Owari no Seraph: Nagoya Kessen-hen,#227,#1277,7.63
TV,Spring 2019,"660,049",Fruits Basket 1st Season,#238,#308,8.22
TV,Summer 1998,"627,204",Serial Experiments Lain,#259,#487,8.07
TV,Winter 2019,"1,403,988",Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,#63,#166,8.40
TV,Winter 2015,"1,721,256",Ansatsu Kyoushitsu,#35,#444,8.10
TV,Fall 2011,"741,131",Boku wa Tomodachi ga Sukunai,#196,#3008,7.19
TV,Spring 2006,"842,327",Suzumiya Haruhi no Yuuutsu,#155,#810,7.84
TV,Spring 2015,"717,224",High School DxD BorN,#216,#1909,7.43
TV,Fall 2012,"552,023",Zetsuen no Tempest,#323,#669,7.93
TV,Fall 2014,"744,346",Akatsuki no Yona,#195,#518,8.03
